0    [main] INFO  org.eclipse.jetty.server.Server  – jetty-8.1.10.v20130312
33   [main] INFO  org.eclipse.jetty.deploy.providers.ScanningAppProvider  – Deployment monitor /Users/bvedula/workspace2/test_stash/jetty/contexts at interval 0
38   [main] INFO  org.eclipse.jetty.deploy.DeploymentManager  – Deployable added: /Users/bvedula/workspace2/test_stash/jetty/contexts/solr.xml
144  [main] INFO  org.eclipse.jetty.webapp.WebInfConfiguration  – Extract jar:file:/Users/bvedula/workspace2/test_stash/jetty/webapps/solr.war!/ to /Users/bvedula/workspace2/test_stash/jetty/solr-webapp/webapp
3133 [main] INFO  org.eclipse.jetty.webapp.StandardDescriptorProcessor  – NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
3203 [main] INFO  org.apache.solr.servlet.SolrDispatchFilter  – SolrDispatchFilter.init()
3218 [main] INFO  org.apache.solr.core.SolrResourceLoader  – JNDI not configured for solr (NoInitialContextEx)
3218 [main] INFO  org.apache.solr.core.SolrResourceLoader  – using system property solr.solr.home: /Users/bvedula/workspace2/test_stash/jetty/solr
3219 [main] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/Users/bvedula/workspace2/test_stash/jetty/solr/'
3232 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/bvedula/workspace2/test_stash/jetty/solr/lib/contrib/' to classloader
3233 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/bvedula/workspace2/test_stash/jetty/solr/lib/solr-analysis-extras-4.10.3.jar' to classloader
3234 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/bvedula/workspace2/test_stash/jetty/solr/lib/solr-clustering-4.10.3.jar' to classloader
3235 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/bvedula/workspace2/test_stash/jetty/solr/lib/solr-langid-4.10.3.jar' to classloader
3369 [main] INFO  org.apache.solr.core.ConfigSolr  – Loading container configuration from /Users/bvedula/workspace2/test_stash/jetty/solr/solr.xml
3450 [main] INFO  org.apache.solr.core.CoresLocator  – Config-defined core root directory: /Users/bvedula/workspace2/test_stash/jetty/solr
3475 [main] INFO  org.apache.solr.core.CoreContainer  – New CoreContainer 1292838001
3477 [main] INFO  org.apache.solr.core.CoreContainer  – Loading cores into CoreContainer [instanceDir=/Users/bvedula/workspace2/test_stash/jetty/solr/]
3478 [main] INFO  org.apache.solr.core.CoreContainer  – loading shared library: /Users/bvedula/workspace2/test_stash/jetty/solr/lib
3478 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/bvedula/workspace2/test_stash/jetty/solr/lib/contrib/' to classloader
3478 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/bvedula/workspace2/test_stash/jetty/solr/lib/solr-analysis-extras-4.10.3.jar' to classloader
3479 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/bvedula/workspace2/test_stash/jetty/solr/lib/solr-clustering-4.10.3.jar' to classloader
3479 [main] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/bvedula/workspace2/test_stash/jetty/solr/lib/solr-langid-4.10.3.jar' to classloader
3498 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting socketTimeout to: 0
3499 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting urlScheme to: null
3505 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting connTimeout to: 0
3506 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxConnectionsPerHost to: 20
3506 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting corePoolSize to: 0
3509 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maximumPoolSize to: 2147483647
3510 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting maxThreadIdleTime to: 5
3510 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting sizeOfQueue to: -1
3511 [main] INFO  org.apache.solr.handler.component.HttpShardHandlerFactory  – Setting fairnessPolicy to: false
3635 [main] INFO  org.apache.solr.update.UpdateShardHandler  – Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=false
3636 [main] INFO  org.apache.solr.logging.LogWatcher  – SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
3637 [main] INFO  org.apache.solr.logging.LogWatcher  – Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
3638 [main] INFO  org.apache.solr.core.CoreContainer  – Host Name: 
3710 [main] INFO  org.apache.solr.core.CoresLocator  – Looking for core definitions underneath /Users/bvedula/workspace2/test_stash/jetty/solr
3734 [main] INFO  org.apache.solr.core.CoresLocator  – Found core blacklight-core in /Users/bvedula/workspace2/test_stash/jetty/solr/blacklight-core/
3746 [main] INFO  org.apache.solr.core.CoresLocator  – Found 1 core definitions
3748 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – new SolrResourceLoader for directory: '/Users/bvedula/workspace2/test_stash/jetty/solr/blacklight-core/'
3788 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrConfig  – Adding specified lib dirs to ClassLoader
3789 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/bvedula/workspace2/test_stash/jetty/solr/lib/contrib/analysis-extras/lib/icu4j-53.1.jar' to classloader
3789 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/bvedula/workspace2/test_stash/jetty/solr/lib/contrib/analysis-extras/lib/morfologik-fsa-1.7.1.jar' to classloader
3789 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/bvedula/workspace2/test_stash/jetty/solr/lib/contrib/analysis-extras/lib/morfologik-polish-1.7.1.jar' to classloader
3789 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/bvedula/workspace2/test_stash/jetty/solr/lib/contrib/analysis-extras/lib/morfologik-stemming-1.7.1.jar' to classloader
3789 [coreLoadExecutor-5-thread-1] INFO  org.apache.solr.core.SolrResourceLoader  – Adding 'file:/Users/bvedula/workspace2/test_stash/jetty/solr/lib/contrib/analysis-extras/lucene-libs/lucene-analyzers-icu-4.10.3.jar' to classloader
